2024-08-22 00:43:21,902 - INFO - E:\Работа\ЦСИП\project_FX\myproject\myapp\views.py changed, reloading.
2024-08-22 00:43:25,306 - INFO - E:\Работа\ЦСИП\project_FX\myproject\myapp\views.py changed, reloading.
2024-08-22 00:43:50,996 - DEBUG - Ищем 'упаск' в 'противоаварийнаяавтоматика.пс220кввойлово.временныерешения.'
2024-08-22 00:43:50,996 - DEBUG - Ищем 'упаск' в 'итогопоглаве2'
2024-08-22 00:43:50,996 - DEBUG - Ищем 'упаск' в 'итогопоглавам1-7'
2024-08-22 00:43:50,996 - DEBUG - Ищем 'упаск' в 'nan'
2024-08-22 00:43:50,997 - DEBUG - Ищем 'упаск' в 'производствостроительно-монтажныхработвзимнеевремяпс-2,1%х0,9х0,8(iiiтемпературнаязона)'
2024-08-22 00:43:50,997 - DEBUG - Ищем 'упаск' в 'пусконаладочныеработы(вхолостую80%)'
2024-08-22 00:43:50,997 - DEBUG - Ищем 'упаск' в 'пусконаладочныеработы.пс220квцементная.'
2024-08-22 00:43:50,997 - DEBUG - Ищем 'упаск' в 'пусконаладочныеработы.пс220квлитейная.'
2024-08-22 00:43:50,997 - DEBUG - Ищем 'упаск' в 'пусконаладочныеработы.пс220кввойлово.'
2024-08-22 00:43:50,997 - DEBUG - Ищем 'упаск' в 'затраты,связанныеспремированиемзавводвдействиепостроенныхобъектов-3,08%'
2024-08-22 00:43:50,997 - DEBUG - Ищем 'упаск' в 'затратынапервичнуютехническуютехинвентаризацию–0,12%'
2024-08-22 00:43:50,997 - DEBUG - Ищем 'упаск' в 'средстванаорганизациюипроведениеподрядныхторгов(тендеров)'
2024-08-22 00:43:50,997 - DEBUG - Ищем 'упаск' в 'средстванаорганизациюипроведениеподрядныхторгов(тендеров)'
2024-08-22 00:43:50,997 - DEBUG - Ищем 'упаск' в 'nan'
2024-08-22 00:43:50,997 - DEBUG - Ищем 'упаск' в 'итогопоглаве9'
2024-08-22 00:43:50,997 - DEBUG - Ищем 'упаск' в 'итогопоглавам1-9'
2024-08-22 00:43:50,997 - DEBUG - Ищем 'упаск' в 'nan'
2024-08-22 00:43:50,998 - DEBUG - Ищем 'упаск' в 'содержаниедирекции(техническогонадзора)строящегосяпредприятия-3,18%*1,037(цисн№12.2019табл.3.2.1на12.2020)'
2024-08-22 00:43:50,998 - DEBUG - Ищем 'упаск' в 'итогопоглаве10'
2024-08-22 00:43:50,998 - DEBUG - Ищем 'упаск' в 'итогопоглавам1-10'
2024-08-22 00:43:50,998 - DEBUG - Ищем 'упаск' в 'nan'
2024-08-22 00:43:50,998 - DEBUG - Ищем 'упаск' в 'проектныеработыстадиипд'
2024-08-22 00:43:50,998 - DEBUG - Ищем 'упаск' в 'проектныеработыстадиирд'
2024-08-22 00:43:50,998 - DEBUG - Ищем 'упаск' в 'авторскийнадзор-0,2%'
2024-08-22 00:43:50,998 - DEBUG - Ищем 'упаск' в 'разработкаконкурснойдокументации'
2024-08-22 00:43:50,998 - DEBUG - Ищем 'упаск' в 'авторскийнадзор-0,2%'
2024-08-22 00:43:50,998 - DEBUG - Ищем 'упаск' в 'итогопоглаве12'
2024-08-22 00:43:50,998 - DEBUG - Ищем 'упаск' в 'итогопоглавам1-12'
2024-08-22 00:43:50,998 - DEBUG - Ищем 'упаск' в 'nan'
2024-08-22 00:43:50,998 - DEBUG - Ищем 'упаск' в 'резервсредствнанепредвиденныеработыизатраты-3%'
2024-08-22 00:43:50,998 - DEBUG - Ищем 'упаск' в 'итогоснепредвиденными'
2024-08-22 00:43:50,999 - DEBUG - Ищем 'упаск' в 'nan'
2024-08-22 00:43:50,999 - DEBUG - Ищем 'упаск' в 'ндс-20%'
2024-08-22 00:43:50,999 - DEBUG - Ищем 'упаск' в 'nan'
2024-08-22 00:43:50,999 - DEBUG - Ищем 'упаск' в 'всегопосводномурасчетувтекущихценах'
2024-08-22 00:43:50,999 - DEBUG - Ищем 'упаск' в 'nan'
2024-08-22 00:43:50,999 - DEBUG - Ищем 'упаск' в 'nan'
2024-08-22 00:43:50,999 - DEBUG - Ищем 'упаск' в 'nan'
2024-08-22 00:43:50,999 - DEBUG - Ищем 'упаск' в '(подпись,ф.и.о.)'
2024-08-22 00:43:50,999 - DEBUG - Ищем 'упаск' в 'nan'
2024-08-22 00:43:50,999 - DEBUG - Ищем 'упаск' в 'nan'
2024-08-22 00:43:50,999 - DEBUG - Ищем 'упаск' в '(подпись,ф.и.о.)'
2024-08-22 00:43:50,999 - DEBUG - Ищем 'упаск' в 'nan'
2024-08-22 00:43:50,999 - DEBUG - Ищем 'упаск' в 'nan'
2024-08-22 00:43:50,999 - DEBUG - Ищем 'упаск' в '(наименование)'
2024-08-22 00:43:50,999 - DEBUG - Ищем 'упаск' в 'nan'
2024-08-22 00:43:50,999 - DEBUG - Ищем 'упаск' в 'nan'
2024-08-22 00:43:51,000 - DEBUG - Ищем 'упаск' в '(должность,подпись,ф.и.о.)'
2024-08-22 00:43:51,001 - DEBUG - Ищем 'системпа' в 'nan'
2024-08-22 00:43:51,001 - DEBUG - Ищем 'системпа' в 'демонтажныеработы.пс220квцементная'
2024-08-22 00:43:51,001 - DEBUG - Ищем 'системпа' в 'итогопоглаве1'
2024-08-22 00:43:51,001 - DEBUG - Ищем 'системпа' в 'nan'
2024-08-22 00:43:51,001 - DEBUG - Ищем 'системпа' в 'электротехническаячасть.пс220квцементная'
2024-08-22 00:43:51,001 - DEBUG - Ищем 'системпа' в 'пс220квцементная.электротехническаячасть'
2024-08-22 00:43:51,001 - DEBUG - Ищем 'системпа' в 'противоаварийнаяавтоматика'
2024-08-22 00:43:51,001 - DEBUG - Ищем 'системпа' в 'противоаварийнаяавтоматика.пс220квцементная.'
2024-08-22 00:43:51,002 - DEBUG - Ищем 'системпа' в 'противоаварийнаяавтоматика.пс220квлитейная.временныерешения.'
2024-08-22 00:43:51,002 - DEBUG - Ищем 'системпа' в 'противоаварийнаяавтоматика.пс220квлитейная.постоянныерешения.'
2024-08-22 00:43:51,002 - DEBUG - Ищем 'системпа' в 'противоаварийнаяавтоматика.пс220кввойлово.временныерешения.'
2024-08-22 00:43:51,002 - DEBUG - Ищем 'системпа' в 'итогопоглаве2'
2024-08-22 00:43:51,002 - DEBUG - Ищем 'системпа' в 'итогопоглавам1-7'
2024-08-22 00:43:51,002 - DEBUG - Ищем 'системпа' в 'nan'
2024-08-22 00:43:51,002 - DEBUG - Ищем 'системпа' в 'производствостроительно-монтажныхработвзимнеевремяпс-2,1%х0,9х0,8(iiiтемпературнаязона)'
2024-08-22 00:43:51,002 - DEBUG - Ищем 'системпа' в 'пусконаладочныеработы(вхолостую80%)'
2024-08-22 00:43:51,002 - DEBUG - Ищем 'системпа' в 'пусконаладочныеработы.пс220квцементная.'
2024-08-22 00:43:51,002 - DEBUG - Ищем 'системпа' в 'пусконаладочныеработы.пс220квлитейная.'
2024-08-22 00:43:51,002 - DEBUG - Ищем 'системпа' в 'пусконаладочныеработы.пс220кввойлово.'
2024-08-22 00:43:51,002 - DEBUG - Ищем 'системпа' в 'затраты,связанныеспремированиемзавводвдействиепостроенныхобъектов-3,08%'
2024-08-22 00:43:51,002 - DEBUG - Ищем 'системпа' в 'затратынапервичнуютехническуютехинвентаризацию–0,12%'
2024-08-22 00:43:51,002 - DEBUG - Ищем 'системпа' в 'средстванаорганизациюипроведениеподрядныхторгов(тендеров)'
2024-08-22 00:43:51,003 - DEBUG - Ищем 'системпа' в 'средстванаорганизациюипроведениеподрядныхторгов(тендеров)'
2024-08-22 00:43:51,003 - DEBUG - Ищем 'системпа' в 'nan'
2024-08-22 00:43:51,003 - DEBUG - Ищем 'системпа' в 'итогопоглаве9'
2024-08-22 00:43:51,003 - DEBUG - Ищем 'системпа' в 'итогопоглавам1-9'
2024-08-22 00:43:51,003 - DEBUG - Ищем 'системпа' в 'nan'
2024-08-22 00:43:51,003 - DEBUG - Ищем 'системпа' в 'содержаниедирекции(техническогонадзора)строящегосяпредприятия-3,18%*1,037(цисн№12.2019табл.3.2.1на12.2020)'
2024-08-22 00:43:51,003 - DEBUG - Ищем 'системпа' в 'итогопоглаве10'
2024-08-22 00:43:51,003 - DEBUG - Ищем 'системпа' в 'итогопоглавам1-10'
2024-08-22 00:43:51,003 - DEBUG - Ищем 'системпа' в 'nan'
2024-08-22 00:43:51,003 - DEBUG - Ищем 'системпа' в 'проектныеработыстадиипд'
2024-08-22 00:43:51,003 - DEBUG - Ищем 'системпа' в 'проектныеработыстадиирд'
2024-08-22 00:43:51,003 - DEBUG - Ищем 'системпа' в 'авторскийнадзор-0,2%'
2024-08-22 00:43:51,004 - DEBUG - Ищем 'системпа' в 'разработкаконкурснойдокументации'
2024-08-22 00:43:51,004 - DEBUG - Ищем 'системпа' в 'авторскийнадзор-0,2%'
2024-08-22 00:43:51,004 - DEBUG - Ищем 'системпа' в 'итогопоглаве12'
2024-08-22 00:43:51,004 - DEBUG - Ищем 'системпа' в 'итогопоглавам1-12'
2024-08-22 00:43:51,004 - DEBUG - Ищем 'системпа' в 'nan'
2024-08-22 00:43:51,004 - DEBUG - Ищем 'системпа' в 'резервсредствнанепредвиденныеработыизатраты-3%'
2024-08-22 00:43:51,004 - DEBUG - Ищем 'системпа' в 'итогоснепредвиденными'
2024-08-22 00:43:51,004 - DEBUG - Ищем 'системпа' в 'nan'
2024-08-22 00:43:51,004 - DEBUG - Ищем 'системпа' в 'ндс-20%'
2024-08-22 00:43:51,004 - DEBUG - Ищем 'системпа' в 'nan'
2024-08-22 00:43:51,004 - DEBUG - Ищем 'системпа' в 'всегопосводномурасчетувтекущихценах'
2024-08-22 00:43:51,004 - DEBUG - Ищем 'системпа' в 'nan'
2024-08-22 00:43:51,004 - DEBUG - Ищем 'системпа' в 'nan'
2024-08-22 00:43:51,004 - DEBUG - Ищем 'системпа' в 'nan'
2024-08-22 00:43:51,004 - DEBUG - Ищем 'системпа' в '(подпись,ф.и.о.)'
2024-08-22 00:43:51,005 - DEBUG - Ищем 'системпа' в 'nan'
2024-08-22 00:43:51,005 - DEBUG - Ищем 'системпа' в 'nan'
2024-08-22 00:43:51,005 - DEBUG - Ищем 'системпа' в '(подпись,ф.и.о.)'
2024-08-22 00:43:51,005 - DEBUG - Ищем 'системпа' в 'nan'
2024-08-22 00:43:51,005 - DEBUG - Ищем 'системпа' в 'nan'
2024-08-22 00:43:51,005 - DEBUG - Ищем 'системпа' в '(наименование)'
2024-08-22 00:43:51,005 - DEBUG - Ищем 'системпа' в 'nan'
2024-08-22 00:43:51,005 - DEBUG - Ищем 'системпа' в 'nan'
2024-08-22 00:43:51,005 - DEBUG - Ищем 'системпа' в '(должность,подпись,ф.и.о.)'
2024-08-22 00:43:51,006 - DEBUG - Ищем 'контрольного(силового)кабеля' в 'nan'
2024-08-22 00:43:51,007 - DEBUG - Ищем 'контрольного(силового)кабеля' в 'демонтажныеработы.пс220квцементная'
2024-08-22 00:43:51,007 - DEBUG - Ищем 'контрольного(силового)кабеля' в 'итогопоглаве1'
2024-08-22 00:43:51,007 - DEBUG - Ищем 'контрольного(силового)кабеля' в 'nan'
2024-08-22 00:43:51,007 - DEBUG - Ищем 'контрольного(силового)кабеля' в 'электротехническаячасть.пс220квцементная'
2024-08-22 00:43:51,007 - DEBUG - Ищем 'контрольного(силового)кабеля' в 'пс220квцементная.электротехническаячасть'
2024-08-22 00:43:51,007 - DEBUG - Ищем 'контрольного(силового)кабеля' в 'противоаварийнаяавтоматика'
2024-08-22 00:43:51,007 - DEBUG - Ищем 'контрольного(силового)кабеля' в 'противоаварийнаяавтоматика.пс220квцементная.'
2024-08-22 00:43:51,007 - DEBUG - Ищем 'контрольного(силового)кабеля' в 'противоаварийнаяавтоматика.пс220квлитейная.временныерешения.'
2024-08-22 00:43:51,007 - DEBUG - Ищем 'контрольного(силового)кабеля' в 'противоаварийнаяавтоматика.пс220квлитейная.постоянныерешения.'
2024-08-22 00:43:51,007 - DEBUG - Ищем 'контрольного(силового)кабеля' в 'противоаварийнаяавтоматика.пс220кввойлово.временныерешения.'
2024-08-22 00:43:51,007 - DEBUG - Ищем 'контрольного(силового)кабеля' в 'итогопоглаве2'
2024-08-22 00:43:51,007 - DEBUG - Ищем 'контрольного(силового)кабеля' в 'итогопоглавам1-7'
2024-08-22 00:43:51,007 - DEBUG - Ищем 'контрольного(силового)кабеля' в 'nan'
2024-08-22 00:43:51,007 - DEBUG - Ищем 'контрольного(силового)кабеля' в 'производствостроительно-монтажныхработвзимнеевремяпс-2,1%х0,9х0,8(iiiтемпературнаязона)'
2024-08-22 00:43:51,008 - DEBUG - Ищем 'контрольного(силового)кабеля' в 'пусконаладочныеработы(вхолостую80%)'
2024-08-22 00:43:51,008 - DEBUG - Ищем 'контрольного(силового)кабеля' в 'пусконаладочныеработы.пс220квцементная.'
2024-08-22 00:43:51,008 - DEBUG - Ищем 'контрольного(силового)кабеля' в 'пусконаладочныеработы.пс220квлитейная.'
2024-08-22 00:43:51,008 - DEBUG - Ищем 'контрольного(силового)кабеля' в 'пусконаладочныеработы.пс220кввойлово.'
2024-08-22 00:43:51,008 - DEBUG - Ищем 'контрольного(силового)кабеля' в 'затраты,связанныеспремированиемзавводвдействиепостроенныхобъектов-3,08%'
2024-08-22 00:43:51,008 - DEBUG - Ищем 'контрольного(силового)кабеля' в 'затратынапервичнуютехническуютехинвентаризацию–0,12%'
2024-08-22 00:43:51,008 - DEBUG - Ищем 'контрольного(силового)кабеля' в 'средстванаорганизациюипроведениеподрядныхторгов(тендеров)'
2024-08-22 00:43:51,008 - DEBUG - Ищем 'контрольного(силового)кабеля' в 'средстванаорганизациюипроведениеподрядныхторгов(тендеров)'
2024-08-22 00:43:51,008 - DEBUG - Ищем 'контрольного(силового)кабеля' в 'nan'
2024-08-22 00:43:51,008 - DEBUG - Ищем 'контрольного(силового)кабеля' в 'итогопоглаве9'
